Video Title,Video Post Date,Video URL,Video Play Count
BINI | ‘Shagidi’ Official Lyric Video,2025-06-05,https://www.youtube.com/watch?v=wypqyyr6bZo,1738453
#BINI: Back-to-back guestings in the city that never sleeps!,2025-06-05,https://www.youtube.com/watch?v=nN84M511ECc,22365
BINIversus EP 2: MALOIconic Battle | BINI Variety Show,2025-06-04,https://www.youtube.com/watch?v=vBTxVIgCwLM,978233
#BINI: ‘Blink Twice’ at Good Day New York,2025-06-04,https://www.youtube.com/watch?v=knnNhoLqx4g,65480
"#BINI: Guess our next move! ‘Shagidi’ drops on June 5, 2025 at 9PM PHT!",2025-06-03,https://www.youtube.com/watch?v=oar1foDys4I,77470
#BINI: Celebrated Pinoy pride with the Filipino community in NYC! 🇵🇭💖,2025-06-03,https://www.youtube.com/watch?v=EAU0iRe_JYs,12071
#BINI: The #BINIverse took over Madison Square Garden! 🗽💗,2025-06-03,https://www.youtube.com/watch?v=fobPuo3DyI0,20576
"#BINI: Ready to follow our lead? ‘Shagidi’ drops on June 5, 2025 at 9PM PHT!",2025-06-02,https://www.youtube.com/watch?v=YN9MS1O9dao,77007
BINIverse World Tour Kumustahan Livestream New York,2025-06-02,https://www.youtube.com/watch?v=p7poBJkHWrg,128733
Second Episode Game Master: BINI Maloi! | BINIversus Ep 2 Teaser,2025-06-02,https://www.youtube.com/watch?v=e1HGV0Cs5xA,94044
Second Episode Game Master: BINI Maloi! | BINIversus Ep 2 Teaser,2025-06-02,https://www.youtube.com/watch?v=hDglcqBFla8,71563
#BINI : 'Out Of My Head' at #BINIverseToronto Performance Fancam,2025-06-01,https://www.youtube.com/watch?v=cPK4TBJo6Jc,98430
#BINI: Toronto fam was totally out of their heads with all the surprises! 🇨🇦,2025-06-01,https://www.youtube.com/watch?v=-9f9FeIwbJ4,11793
#BINI: First rehearsals palang in Philly and it’s already cuteness overload!🥹,2025-05-29,https://www.youtube.com/watch?v=HvSHGxwBJSE,24020
BINIversus EP 1: Tanggal Colet Course | BINI Variety Show,2025-05-28,https://www.youtube.com/watch?v=L_EOL_WDWDY,1297660
"#BINI: London, you smashed it! 💥#BINIverseLondon, you did not come to play!",2025-05-28,https://www.youtube.com/watch?v=D4yNq3RNfyk,21168
#BINI: Can't get enough of #BINIverseDubai? Here's an exclusive #BINI_InReelLife just for you!,2025-05-28,https://www.youtube.com/watch?v=o_NvzA4XLCA,9060
#BINI: Philly just got sweeter with a birthday bash for our Maloi and Sheena!🎂,2025-05-28,https://www.youtube.com/watch?v=P3QK4qbL_Bw,36979
"#BINI: Just a few hours left ‘til #BINIverseLondon, and we’re just as excited as you are!",2025-05-28,https://www.youtube.com/watch?v=y7wIcq2eFu4,12891
#BINI: What an incredible day exploring London’s most iconic sights!,2025-05-28,https://www.youtube.com/watch?v=rznxB-cZdWU,16991
#BINI: Want more? Here's to complete BINI’s Day 1 in Dubai!,2025-05-28,https://www.youtube.com/watch?v=yXaleQiMob0,11078
#BINI: Out and about in London! Had a lovely time with the best lot. 🫂🇬🇧,2025-05-28,https://www.youtube.com/watch?v=F7WoUnbJHDs,19187
#BINI: From Consulate visit and Radio interviews to hanging out at Spotify in Dubai!,2025-05-28,https://www.youtube.com/watch?v=6iuNZLfVRMk,14373
#BINI: Watch Sheena bring the heat on the ‘Zero Pressure’ Performance Video!,2025-05-28,https://www.youtube.com/watch?v=fIeRwWMzBqw,78380
#BINI: Watch Stacey bring the heat on the ‘Zero Pressure’ Performance Video!,2025-05-28,https://www.youtube.com/watch?v=n9aMq3IiMh0,93937
#BINI: Watch Gwen bring the heat on the ‘Zero Pressure’ Performance Video!,2025-05-28,https://www.youtube.com/watch?v=Jblyk-3GZtY,106677
#BINI: Watch Jhoanna bring the heat on the ‘Zero Pressure’ Performance Video!,2025-05-28,https://www.youtube.com/watch?v=8t202xsB6uc,57899
#BINI: ‘Karera’ at #BINIverseLondon Performance Fancam,2025-05-27,https://www.youtube.com/watch?v=I_DZn5i7glY,59758
#BINI: Watch Mikha bring the heat on the ‘Zero Pressure’ Performance Video!,2025-05-27,https://www.youtube.com/watch?v=zUGblvhIs9I,165015
#BINI: Watch Maloi bring the heat on the ‘Zero Pressure’ Performance Video!,2025-05-27,https://www.youtube.com/watch?v=iL_gQNH4wGA,74001
#BINI: Watch Aiah bring the heat on the ‘Zero Pressure’ Performance Video!,2025-05-27,https://www.youtube.com/watch?v=Xan0_rPf9Tg,53505
#BINI: Watch Colet bring the heat on the ‘Zero Pressure’ Performance Video!,2025-05-27,https://www.youtube.com/watch?v=5vs7SeI6eic,95453
"#BINI: Shagidi, Shagidi, Shapopo…Game! Who gon' time first? 🫵🪅",2025-05-26,https://www.youtube.com/watch?v=CwZnlEmLZhE,231006
First Episode Game Master: BINI Colet! | BINIversus Ep 1 Teaser,2025-05-26,https://www.youtube.com/watch?v=qgSWrl1_dY8,34560
First Episode Game Master: BINI Colet! | BINIversus Ep 1 Teaser,2025-05-26,https://www.youtube.com/watch?v=ItZUYqkit0w,67660
#BINI: Zero Pressure acapella in front of the iconic Abbey Road Studios! 🎶,2025-05-24,https://www.youtube.com/watch?v=4jWNEAeB7uo,210048
#BINI: Ready for the next game? ▶️👾,2025-05-24,https://www.youtube.com/watch?v=cgojGRvH2fQ,61008
BINIverse World Tour Kumustahan Livestream LONDON,2025-05-24,https://www.youtube.com/watch?v=yGNcH90JPuI,209810
BINI | BINI : ‘Zero Pressure' Dance Practice,2025-05-23,https://www.youtube.com/watch?v=u8hrcQisGKM,1123473
BINI's First Variety Show: BINIversus! (Official Trailer),2025-05-22,https://www.youtube.com/watch?v=_TNTHcJBgTI,101370
🎮 Squad assembled and ready!,2025-05-21,https://www.youtube.com/watch?v=vRiHnudoQ9Y,163907
🕹4-Player Mode: Activated!,2025-05-21,https://www.youtube.com/watch?v=zvMtQinLXN8,302398
#BINI: Join the #BINI_ZeroPressureDC and don’t forget to use the official audio💫,2025-05-21,https://www.youtube.com/watch?v=G9a-Kjou5wY,74251
#BINI: Join the #BINI_ZeroPressureDC and don’t forget to use the official audio💫,2025-05-21,https://www.youtube.com/watch?v=HTXAZ0579uQ,89455
#BINI: Join the #BINI_ZeroPressureDC and don’t forget to use the official audio💫,2025-05-21,https://www.youtube.com/watch?v=k-tg8RGLEak,82740
#BINI: Join the #BINI_ZeroPressureDC and don’t forget to use the official audio💫,2025-05-21,https://www.youtube.com/watch?v=JYsVln6WXoU,88632
#BINI: Join the #BINI_ZeroPressureDC and don’t forget to use the official audio💫,2025-05-21,https://www.youtube.com/watch?v=948FIdQj8Xo,57235
#BINI: Join the #BINI_ZeroPressureDC and don’t forget to use the official audio💫,2025-05-21,https://www.youtube.com/watch?v=IBovM51QKS0,67141
#BINI: Join the #BINI_ZeroPressureDC and don’t forget to use the official audio💫,2025-05-21,https://www.youtube.com/watch?v=Rw04XCctyhY,52746
#BINI: Join the #BINI_ZeroPressureDC and don’t forget to use the official audio💫,2025-05-21,https://www.youtube.com/watch?v=HowG3dT1FC0,88799
#BINI: ‘Zero Pressure’ at #BINIVerseWorldTour2025Dubai Performance Fancam,2025-05-19,https://www.youtube.com/watch?v=RkfUILzrScA,101895
"#BINI: Sa'adt bi ilqa'ak, Coca-Cola Arena, Dub-EYY 🙌🏻📣",2025-05-19,https://www.youtube.com/watch?v=gKoZJ3rFh9U,248578
#BINI: The ‘Zero Pressure’ Official Performance Video is OUT NOW! 🎮,2025-05-18,https://www.youtube.com/watch?v=nKaXB7I8x_s,88175
#BINI: Just a few hours left ‘til #BINIverseDubai!🇦🇪,2025-05-18,https://www.youtube.com/watch?v=1NvEe-5OiyI,43377
#BINI: 🎮 New quest unlocked: #BINI_ZeroPressureDC,2025-05-17,https://www.youtube.com/watch?v=LLoJtaG-2mo,434726
BINI | ‘Zero Pressure’ Official Performance Video,2025-05-16,https://www.youtube.com/watch?v=FxtrOYx2b_U,3689105
#BINI: Player #bini_sheena on standby… the BINIverse World Tour begins now,2025-05-16,https://www.youtube.com/watch?v=5IhLrwzWT-o,86662
#BINI: Player #bini_jhoanna readying launch sequence… first stop: the BINIverse World Tour,2025-05-16,https://www.youtube.com/watch?v=2ibkntemxjM,58170
#BINI: Player #bini_mikha fully equiped… the BINIverse World Tour is now loading,2025-05-16,https://www.youtube.com/watch?v=qu59hmrkGlE,76260
"#BINI: Thanks, American Tourister PH, for rolling with us through it all! ✈️",2025-05-16,https://www.youtube.com/watch?v=FPb11Gcsahk,29404
#BINI: Player #bini_stacey powering up… ready to meet the world,2025-05-16,https://www.youtube.com/watch?v=-CZViH3kuIE,43421
#BINI: Player #bini_gwen unlocking new skills for the next level of the tour 🎤🧭,2025-05-16,https://www.youtube.com/watch?v=OaKQJE5xnXk,112304
#BINI: Player #bini_maloi syncing with the world map… first stop: The BINIverse World Tour,2025-05-16,https://www.youtube.com/watch?v=axlEirO5Gd4,58330
#BINI:Player #bini_colet calibrating for the stage…ready to take flight on the BINIverse World Tour,2025-05-16,https://www.youtube.com/watch?v=NQNmGQb_rgw,62794
#BINI: Player #bini_aiah uploading character file… booting up for the BINIverse World Tour,2025-05-16,https://www.youtube.com/watch?v=WLjyCc43pq0,57572
#BINI: Watch the behind-the-scene moments from our Forbes shoot 🎥,2025-05-16,https://www.youtube.com/watch?v=s-wG-ATMcYU,20986
#BINI: Colet mission incoming 🎮✨,2025-05-15,https://www.youtube.com/watch?v=dK1L4nbaTFI,20161
#BINI: Aiah loading next level 🎮✨,2025-05-15,https://www.youtube.com/watch?v=KsW4GA_GecE,23465
#BINI: Maloi power-up activated 🎮✨,2025-05-15,https://www.youtube.com/watch?v=T5sON-kkDkE,16257
#BINI: Gwen qeued up for action 🎮✨,2025-05-15,https://www.youtube.com/watch?v=Fj25D5qM4W0,25304
#BINI: Mikha entering the arena 🎮✨,2025-05-15,https://www.youtube.com/watch?v=NMfkfokTt6g,27017
#BINI: Stacey unlocked and ready 🎮✨,2025-05-15,https://www.youtube.com/watch?v=2enoe3MjVOo,17941
#BINI: Jhoanna powering up 🎮✨,2025-05-15,https://www.youtube.com/watch?v=blpJUaM3Lb0,16655
#BINI: Sheena ready to press start 🎮✨,2025-05-15,https://www.youtube.com/watch?v=SzOlf9KhqDo,18712
BINI : ‘Zero Pressure’ Official Performance Video Teaser,2025-05-15,https://www.youtube.com/watch?v=x8itADSDoi8,65902
#BINI : 'Zero Pressure' at Aurora Music Festival 2025 Performance Fancam,2025-05-07,https://www.youtube.com/watch?v=B2b_UygeDBk,64635
"#BINI : 'Salamin, Salamin' at Aurora Music Festival 2025 Performance Fancam",2025-05-07,https://www.youtube.com/watch?v=CACz4tFlxW4,82411
#BINI : 'Lagi' at Aurora Music Festival 2025 Performance Fancam,2025-05-07,https://www.youtube.com/watch?v=M_CH89x70cU,95425
#BINI : 'Pantropiko' at Aurora Music Festival 2025 Performance Fancam,2025-05-07,https://www.youtube.com/watch?v=CofXEqQNB4g,79433
#BINI : 'Karera' at Aurora Music Festival 2025 Performance Fancam,2025-05-07,https://www.youtube.com/watch?v=aiHfJYvnoRI,48432
#BINI : Catch our BINI x Cup of Joe's #BINI_BlinkTwiceDC collab!✨👁️,2025-05-06,https://www.youtube.com/watch?v=fvt4ztCnzH0,240953
#BINI : Catch our BINI x Maki's #BINI_BlinkTwiceDC collab!✨👁️,2025-05-06,https://www.youtube.com/watch?v=VcV9zSNcHec,375117
#BINI : Catch our BINI x Michael Sager's #BINI_BlinkTwiceDC collab!✨👁️,2025-05-06,https://www.youtube.com/watch?v=ok3DBcpdXUY,357937
#BINI : Catch our BINI x Over October's #BINI_BlinkTwiceDC collab!✨👁️,2025-05-06,https://www.youtube.com/watch?v=PQL3fufxP6U,180504
BINIversus: coming soon!,2025-05-05,https://www.youtube.com/watch?v=NfXzuMluQPs,77646
#BINI : BINI Sheena at #MaalaalaMoKaya BTS Reel - Day 2,2025-05-02,https://www.youtube.com/watch?v=zMobP6UbpiQ,40664
#BINI : BINI Sheena at #MaalaalaMoKaya BTS Reel - Day 1,2025-05-02,https://www.youtube.com/watch?v=10f5phfZBsI,22639
#BINI | Love Doctor - Episode 2: Rate That Pick-Up Line,2025-05-02,https://www.youtube.com/watch?v=JX8Rn0Fy7Qs,532029
#BINI: Catch the adorable aftermath in our #BINI_inReelLife vid! 💖📹,2025-05-01,https://www.youtube.com/watch?v=LKyi9vonzbc,27842
"#BINI : 'Salamin, Salamin' at MINIverse Performance Fancam",2025-04-30,https://www.youtube.com/watch?v=EEk7qFQIfks,48115
#BINI : 'Cherry On Top' at MINIverse Performance Fancam,2025-04-30,https://www.youtube.com/watch?v=5eOjsMnQSQs,30129
#BINI : 'Blink Twice' at MINIverse Performance Fancam,2025-04-30,https://www.youtube.com/watch?v=nWubR5WdDro,71714
#BINI : MINIverse Highlights,2025-04-29,https://www.youtube.com/watch?v=axP6b_GoFKE,42527
#BINI: #MINIverse Concept Film 2,2025-04-29,https://www.youtube.com/watch?v=TDc7vFQT2T0,17738
#BINI: #MINIverse Concept Film 1,2025-04-29,https://www.youtube.com/watch?v=QiOovu86jRI,17278
"Act like an angel, slay like BINI💥💃🏼",2025-04-29,https://www.youtube.com/watch?v=NBBSMxeVHI0,769740
BINI: 'Blink Twice' MV Shoot Day 2 [Behind-The-Scenes],2025-04-28,https://www.youtube.com/watch?v=ZCTsFubnWrU,237856
Knock knock!💥 Vibin’ through the #MINIverse real quick!😎,2025-04-28,https://www.youtube.com/watch?v=MniVWBKpkT4,158270
"#BINI: 2, 3, Thank you po! We hope you enjoyed MINIverse, our cutie little BL♾️Ms!",2025-04-28,https://www.youtube.com/watch?v=3ATkCNkmvtM,2964628
#BINI: Check out our fancam from BINI’s exclusive live performance at Billboard PH Studios!,2025-04-26,https://www.youtube.com/watch?v=WRSeWdTEu_w,17318
